Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
0000Middleman,US,0,243,198.252.121.79,host-198-252-121-79.brdband.com,9029,9030,0,0,0,0,0,1,1,1,1,Tor 0.2.8.11 on Windows 7,0,0,2014-07-05,JC-39-AS - JEFFERSON CO. CABLE- INC.- US,54934,6,None
0x00d6d99a632e792d,US,0,1299,66.24.84.54,cpe-66-24-84-54.stny.res.rr.com,9001,9030,0,0,0,0,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-04-07,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC- US,11351,12,None
0x00tor,US,0,729,45.79.88.43,li1187-43.members.linode.com,2443,None,0,0,0,0,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2015-12-11,LINODE-AP Linode- LLC- US,63949,18,None
1010,DE,0,293,188.193.165.118,ipbcc1a576.dynamic.kabel-deutschland.de,9002,None,0,0,0,0,0,1,1,1,0,Tor 0.2.8.10 on Linux,0,0,2015-07-02,KABELDEUTSCHLAND-AS - DE,31334,17,None
14default82,RU,0,29,82.112.47.43,82-112-47-43.k-telecom.org,443,9030,0,0,0,0,0,0,1,1,1,Tor 0.2.8.9 on Windows 7,0,0,2016-12-02,KTEL-AS Ekaterinburg- Russia- RU,48642,5,None
2501,DE,0,20,78.48.184.97,x4e30b861.dyn.telefonica.de,9001,None,0,0,0,0,0,0,1,1,0,Tor 0.2.5.12 on Linux,0,0,2014-08-09,TDDE-ASN1 - DE,6805,13,None
2cat,US,0,7527,137.135.8.233,137.135.8.233,443,None,0,0,0,0,0,1,1,1,0,Tor 0.2.4.23 on Linux,0,0,2013-05-01,MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation- US,8075,22,None
343ELH05T,US,0,93,97.127.27.115,97-127-27-115.mpls.qwest.net,58000,58001,0,0,0,0,0,0,1,1,1,Tor 0.2.4.21 on Windows XP,0,0,2014-10-28,CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company- LLC- US,209,5,None
3r10L,FR,0,1,88.167.254.241,lag33-1-88-167-254-241.fbx.proxad.net,9001,9030,0,0,0,0,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2017-01-07,PROXAD - FR,12322,28,None
451f,DE,0,561,176.9.4.206,tiger.curlybracket.org,9001,None,0,0,0,0,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2014-04-16,HETZNER-AS - DE,24940,14,None
472947,DE,0,14,79.223.90.124,p4FDF5A7C.dip0.t-ipconnect.de,9020,9021,0,0,0,0,0,0,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-06-09,DTAG Internet service provider operations- DE,3320,12,None
65MjdPBG,DE,0,5,93.238.183.214,p5DEEB7D6.dip0.t-ipconnect.de,9001,None,0,0,0,0,0,0,1,1,0,Tor 0.2.7.6 on Linux,0,0,2017-01-10,DTAG Internet service provider operations- DE,3320,9,None
65x23x153x114,US,0,636,65.111.186.66,66-186-111-65.serverpronto.com,443,8080,0,0,0,0,0,1,1,1,1,Tor 0.2.4.24 on Linux,0,0,2011-06-23,INFOLINK-MIA-US - Infolink Global Corporation- US,15083,32,None
776166,RU,0,229,195.91.244.98,h195-91-244-98.ln.rinet.ru,9001,None,0,0,0,0,0,1,1,1,0,Tor 0.2.9.9 on Linux,0,0,2015-10-20,RINET-AS Cronyx Plus Ltd- RU,8331,24,None
9OfDecember,FR,0,7,62.210.84.34,torrelay.9od.42b.pm,9001,9030,0,0,0,0,0,0,1,1,1,Tor 0.2.5.12 on Linux,0,0,2017-02-02,AS12876 - FR,12876,20,None
9WpZ6SGe0fDokcahe,BE,0,15,81.240.102.115,115.102-240-81.adsl-dyn.isp.belgacom.be,9122,9121,0,0,0,0,0,0,1,1,1,Tor 0.2.8.7 on Windows XP,0,0,2013-05-31,BELGACOM-SKYNET-AS - BE,5432,5,None
A6K4u30wCh0xERd,NL,0,3347,185.14.28.106,eigokor.uaservers.net,9001,None,0,0,0,0,0,1,1,1,0,Tor 0.2.4.27 on Linux,0,0,2014-07-03,SERVERIUS-AS - NL,50673,15,None
aaar2d2de,DE,0,12,92.194.167.187,port-92-194-167-187.dynamic.qsc.de,443,9031,0,0,0,0,0,0,1,1,1,Tor 0.2.4.27 on Linux,0,0,2016-05-05,QSC-1 Mathias-Brueggen-Str. 55- DE,20676,11,None
aaramus,DE,0,21,79.227.216.137,p4FE3D889.dip0.t-ipconnect.de,9001,None,0,0,0,0,0,0,1,1,0,Tor 0.2.4.27 on Linux,0,0,2017-01-10,DTAG Internet service provider operations- DE,3320,26,None
AbseitsTOR,DE,0,21,86.103.186.185,185-186-103-86.dynamic.dsl.tng.de,9001,None,0,0,0,0,0,0,1,1,0,Tor 0.2.5.12 on Linux,0,0,2016-10-30,TNG-AS Projensdorfer Strasse 324- DE,13101,15,None
acceleraTOR,AT,0,86,212.69.166.153,server.samoylyk.net,9001,80,0,0,0,0,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2014-07-07,NEO-ASN legacy Neotelecoms- FR,8218,21,None
Actarus,FR,0,94,31.33.185.21,neu93-h01-31-33-185-21.dsl.sta.abo.bbox.fr,9001,9030,0,0,0,0,0,0,1,1,1,Tor 0.2.4.27 on Linux,0,0,2014-08-29,ASN-BOUYGTEL-ISP - FR,5410,8,None
adelheid,DE,0,197,77.20.90.152,ip4d145a98.dynamic.kabel-deutschland.de,9001,None,0,0,0,0,0,1,1,1,0,Tor 0.2.4.27 on Linux,0,0,2015-07-02,KABELDEUTSCHLAND-AS - DE,31334,25,None
agschaid,AT,0,7,193.80.243.19,193-80-243-19.adsl.highway.telekom.at,9001,None,0,0,0,0,0,0,1,1,0,Tor 0.2.5.12 on Linux,0,0,2016-01-16,EUNETAT-AS A1 Telekom Austria AG- AT,1901,9,None
Ajorcel,FR,0,219,82.224.146.179,rab34-1-82-224-146-179.fbx.proxad.net,9001,None,0,0,0,0,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2014-05-16,PROXAD - FR,12322,6,None
AlexPlotz,RU,0,60,176.114.128.117,host-176-114-128-117.teleos.ru,443,80,0,0,0,0,0,1,1,1,1,Tor 0.2.7.6 on Windows 7,0,0,2016-01-27,TELEOS-1-AS - RU,43274,2,None
AliasName,DE,0,13,91.1.70.159,p5B01469F.dip0.t-ipconnect.de,9001,None,0,0,0,0,0,0,1,1,0,Tor 0.2.7.6 on Linux,0,0,2016-03-20,DTAG Internet service provider operations- DE,3320,16,None
Amor,BR,0,12,179.182.164.73,179.182.164.73.dynamic.adsl.gvt.net.br,443,9030,0,0,0,0,0,0,1,1,1,Tor 0.2.5.11 on Windows 7,0,0,2015-03-30,TELEFÔNICA BRASIL S.A- BR,18881,3,None
AmurTor23,RU,0,50,2.93.9.21,2.93.9.21,9002,None,0,0,0,0,0,0,1,1,0,Tor 0.2.7.6 on Windows XP,0,0,2015-12-21,CORBINA-AS OJSC _Vimpelcom_- RU,8402,4,None
anaproy,NL,0,2403,77.161.34.157,ip4da1229d.direct-adsl.nl,9090,None,0,0,0,0,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2015-12-10,KPN This macro reflects our filtering-policy on- NL,1136,14,None
angeli,EG,0,8,41.215.242.50,host-41.215.242.50.citynethost.com,443,80,0,0,0,0,0,0,1,1,1,Tor 0.2.6.10 on Linux,0,0,2016-04-08,CITYNET- EG,33785,26,None
anityatvarelay,FR,0,580,195.154.77.149,195-154-77-149.rev.poneytelecom.eu,9001,None,0,0,0,0,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2015-06-16,AS12876 - FR,12876,22,None
Anonymous,HK,0,1713,223.16.37.45,223.16.37.45,443,8080,0,0,0,0,0,1,1,1,1,Tor 0.2.9.3-alpha-dev on Linux,0,0,2016-01-17,HGC-AS-AP Hutchison Global Crossing- HK,18116,10,None
anonymousByPDH,US,0,51,138.68.37.178,138.68.37.178,21,9030,0,0,0,0,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-11-30,DIGITALOCEAN-ASN - Digital Ocean- Inc.- US,14061,24,None
AnonymousCluster1,DE,0,973,46.28.86.33,46.28.86.33,9001,9030,0,0,0,0,0,0,1,1,1,Tor 0.2.5.12 on Linux,0,0,2015-11-26,RFT-BRANDENBURG - DE,35205,10,None
AnonymousDE,DE,0,4,88.152.205.48,ip-88-152-205-48.hsi03.unitymediagroup.de,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.8.11 on Darwin,0,0,2015-01-02,LGI-UPC formerly known as UPC Broadband Holding B.V.- AT,6830,65,None
AnonymTorProxy2,DE,0,91,78.42.54.211,HSI-KBW-078-042-054-211.hsi3.kabel-badenwuerttemberg.de,9002,9032,0,0,0,0,0,1,1,1,1,Tor 0.2.9.9 on Windows 7 [server],0,0,2008-02-10,KABELBW-ASN - DE,29562,10,None
anothermiddlefinger,US,0,435,100.36.136.10,pool-100-36-136-10.washdc.fios.verizon.net,9001,8080,0,0,0,0,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-07-12,UUNET - MCI Communications Services- Inc. d/b/a Verizon Business- US,701,15,None
AnotherOnion,DE,0,134,88.99.104.94,static.94.104.99.88.clients.your-server.de,9001,9030,0,0,0,0,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2017-01-08,HETZNER-AS - DE,24940,22,None
anxr3,DE,0,25,37.221.193.8,r3.as202973.net,104,105,0,0,0,0,0,0,1,1,1,Tor 0.2.5.12 on Linux,0,0,2017-02-01,NETCUP-AS netcup GmbH- DE,197540,16,None
aoa110,GB,0,190,2.97.33.35,host-2-97-33-35.as13285.net,9001,9030,0,0,0,0,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-10-12,OPALTELECOM-AS TalkTalk Communications Limited- GB,13285,9,None
argleblargle,AU,0,91,124.168.104.45,124-168-104-45.dyn.iinet.net.au,9001,None,0,0,0,0,0,0,1,1,0,Tor 0.2.5.12 on Linux,0,0,2017-01-30,INTERNODE-AS Internode Pty Ltd- AU,4739,19,None
ariolcnode,DE,0,4,87.172.2.97,p57AC0261.dip0.t-ipconnect.de,9001,None,0,0,0,0,0,0,1,1,0,Tor 0.2.8.12 on Linux,0,0,2009-04-21,DTAG Internet service provider operations- DE,3320,7,None
aschenputtel,DE,0,20,37.5.169.187,ip2505a9bb.dynamic.kabel-deutschland.de,9001,9030,0,0,0,0,0,0,1,1,1,Tor 0.2.4.27 on Linux,0,0,2014-08-16,KABELDEUTSCHLAND-AS - DE,31334,4,None
ashley,NL,0,401,149.210.226.155,mail2.spugium.net,9001,None,0,0,0,0,0,1,1,1,0,Tor 0.2.4.27 on Linux,0,0,2016-01-19,TRANSIP-AS Amsterdam- the Netherlands- NL,20857,19,None
askatasuna,US,0,124,216.195.133.27,mail.tifaware.com,9001,None,0,0,0,0,0,1,1,1,0,Tor 0.3.0.2-alpha on Linux,0,0,2014-04-27,BIDDEFORD1 - Biddeford Internet Corp- US,5760,10,None
astarsan,AU,0,20,49.3.112.172,r49-3-112-172.cpe.vividwireless.net.au,9000,9030,0,0,0,0,0,0,1,1,1,Tor 0.2.8.9 on Windows 8,0,0,2017-01-22,WAWB-AS-AP WAWB Pty Ltd- AU,38657,14,None
avolevoymailru,RU,0,19,109.188.73.216,wimax-client.yota.ru,9001,None,0,0,0,0,0,1,1,1,0,Tor 0.2.4.27 on Linux,0,0,2015-04-19,SCARTEL-AS - RU,47395,1,None
awesomerelay9001,BG,0,107,94.236.240.73,94-236-240-73.ip.btc-net.bg,9001,None,0,0,0,0,0,1,1,1,0,Tor 0.2.7.1-alpha on Linux,0,0,2015-08-09,BTC-AS BULGARIA- BG,8866,2,None
b42,FR,0,40,78.235.251.93,tc2.friry.net,9001,None,0,0,0,0,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2015-05-23,PROXAD - FR,12322,1,[2a01:e34:eebf:b5d0:ba27:ebff:fe95:aa91]:9001
badgerdash,UA,0,2,95.132.62.153,153-62-132-95.pool.ukrtel.net,23234,23233,0,0,0,0,0,0,1,1,1,Tor 0.2.9.8 on FreeBSD,0,0,2012-05-01,None,None,16,None
ballzout,US,0,156,108.31.73.148,pool-108-31-73-148.washdc.fios.verizon.net,9001,None,0,0,0,0,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2016-05-10,UUNET - MCI Communications Services- Inc. d/b/a Verizon Business- US,701,16,None
banana,US,0,395,69.115.145.16,ool-45739110.dyn.optonline.net,9001,9030,0,0,0,0,0,1,1,1,1,Tor 0.2.4.27 on Linux,0,0,2014-07-07,CABLE-NET-1 - Cablevision Systems Corp.- US,6128,26,None
barsoom,FR,0,3750,5.39.88.54,ns343766.ip-5-39-88.eu,9001,None,0,0,0,0,0,1,1,1,0,Tor 0.2.8.7 on Linux,0,0,2015-01-21,OVH - FR,16276,28,None
